order_id,student_id,timestamp,total_amount,items_count,is_bundle,is_repeat,previous_order_id,days_since_previous_order
ord_44324f227c51,1,2026-09-04 19:30:57,8950.0,1,False,False,,
ord_80af266e78c8,10,2026-09-06 16:25:37,8450.0,1,False,False,,
ord_7756bc4d8e41,100,2026-09-07 09:30:42,8950.0,1,False,False,,
ord_fab1063f75ae,101,2026-08-20 17:34:00,8745.0,1,False,False,,
ord_fbd7549e3e48,102,2026-09-07 12:59:48,12950.0,2,True,False,,
ord_3b2814eb66bc,103,2026-08-09 18:46:42,6490.0,1,False,False,,
ord_126e2c670653,104,2026-08-23 21:00:30,14950.0,2,True,False,,
ord_c7c6c312aab7,105,2026-09-06 11:55:22,8950.0,1,False,False,,
ord_a76c6fb4be0f,106,2026-08-10 10:53:02,9900.0,2,True,False,,
ord_2e0ed66cf347,107,2026-08-23 18:28:17,13950.0,2,True,False,,
ord_95036dad6ba5,108,2026-09-09 04:53:08,6975.0,1,False,False,,
ord_a1b4949c998a,109,2026-09-05 17:57:36,8950.0,1,False,False,,
ord_3e7123b8033f,11,2026-08-27 20:09:27,6975.0,1,False,False,,
ord_352db9af8a4a,110,2026-09-07 10:27:06,8950.0,1,False,False,,
ord_44c6df702db1,111,2026-08-24 16:49:26,8950.0,1,False,False,,
ord_6f7942e5ca39,112,2026-08-11 18:41:42,16950.0,2,True,False,,
ord_19ea5cf660f5,113,2026-09-06 15:14:57,8950.0,1,False,False,,
ord_adc85f8c4113,114,2026-09-01 19:16:56,13950.0,2,True,False,,
ord_d77a97192b4d,115,2026-09-01 13:09:50,8945.0,1,False,False,,
ord_2ff4d4d27c66,116,2026-08-25 10:01:02,14950.0,2,True,False,,
ord_a13624bfbac1,117,2026-09-05 12:34:35,8450.0,1,False,False,,
ord_2ac7f4fc1f7d,118,2026-08-23 08:24:45,8450.0,1,False,False,,
ord_4d7f346be903,119,2026-09-07 11:34:36,8950.0,1,False,False,,
ord_d0c54d7c6c1e,12,2026-08-09 16:52:01,6490.0,1,False,False,,
ord_83492955d9b1,120,2026-08-08 19:28:26,6490.0,1,False,False,,
ord_cbb7c9da8d18,121,2026-08-25 11:38:56,8950.0,1,False,False,,
ord_f35b5681754e,122,2026-08-27 20:55:44,14950.0,2,True,False,,
ord_057492a7b6c1,123,2026-09-09 16:23:01,6450.0,1,False,False,,
ord_50248996c935,124,2026-09-04 06:34:32,9950.0,1,False,False,,
ord_0f90917f515e,125,2026-09-07 08:46:37,8950.0,1,False,False,,
ord_22e8d5965c7f,126,2026-08-05 13:22:41,8745.0,1,False,False,,
ord_2e3b4bf87f0b,127,2026-09-05 17:27:41,8950.0,1,False,False,,
ord_7ab195cf8720,128,2026-09-02 11:55:47,8945.0,1,False,False,,
ord_d1119f866bd9,129,2026-08-09 10:56:45,6490.0,1,False,False,,
ord_34ea914a548b,13,2026-09-07 07:54:24,8950.0,1,False,False,,
ord_ed0637fa4ebd,130,2026-08-15 14:59:16,9950.0,1,False,False,,
ord_76d9181a8e5b,131,2026-08-04 17:05:46,8745.0,1,False,False,,
ord_863dc0ec1562,132,2026-08-13 11:39:13,8745.0,1,False,False,,
ord_1731ed2f88ac,133,2026-08-16 09:59:37,9900.0,2,True,False,,
ord_65c59780dcdc,134,2026-08-31 08:06:47,6975.0,1,False,False,,
ord_b2ee6a955012,135,2026-08-08 20:00:19,9990.0,2,True,False,,
ord_59258fb63126,136,2026-08-27 08:57:04,14950.0,2,True,False,,
ord_0a3c2680e209,137,2026-08-05 15:01:16,8475.0,1,False,False,,
ord_33ae3f4207e8,138,2026-08-09 16:33:22,6490.0,1,False,False,,
ord_07bbfb66286f,138,2026-08-25 12:39:08,5750.0,1,False,True,ord_33ae3f4207e8,15.837338
ord_77045b389287,139,2026-09-01 20:30:07,13950.0,2,True,False,,
ord_afab25d99b1d,14,2026-08-30 23:52:21,8950.0,1,False,False,,
ord_f0e105959a76,140,2026-08-25 16:01:50,8450.0,1,False,False,,
ord_aa2901beb3ca,141,2026-08-24 14:48:12,7475.0,1,False,False,,
ord_b91f1456345e,142,2026-08-11 15:49:13,6490.0,1,False,False,,
ord_e2352379f316,143,2026-08-16 13:21:36,6950.0,1,False,False,,
ord_d9b39ced29f7,144,2026-08-29 11:51:08,8950.0,2,True,False,,
