telegram_user_id,student_id,mapping_method,confidence
1,1,synthetic_deterministic,1.0
10,10,synthetic_deterministic,1.0
100,100,synthetic_deterministic,1.0
101,101,synthetic_deterministic,1.0
102,102,synthetic_deterministic,1.0
103,103,synthetic_deterministic,1.0
104,104,synthetic_deterministic,1.0
105,105,synthetic_deterministic,1.0
106,106,synthetic_deterministic,1.0
107,107,synthetic_deterministic,1.0
108,108,synthetic_deterministic,1.0
109,109,synthetic_deterministic,1.0
11,11,synthetic_deterministic,1.0
110,110,synthetic_deterministic,1.0
111,111,synthetic_deterministic,1.0
112,112,synthetic_deterministic,1.0
113,113,synthetic_deterministic,1.0
114,114,synthetic_deterministic,1.0
115,115,synthetic_deterministic,1.0
116,116,synthetic_deterministic,1.0
117,117,synthetic_deterministic,1.0
118,118,synthetic_deterministic,1.0
119,119,synthetic_deterministic,1.0
12,12,synthetic_deterministic,1.0
120,120,synthetic_deterministic,1.0
121,121,synthetic_deterministic,1.0
122,122,synthetic_deterministic,1.0
123,123,synthetic_deterministic,1.0
124,124,synthetic_deterministic,1.0
125,125,synthetic_deterministic,1.0
126,126,synthetic_deterministic,1.0
127,127,synthetic_deterministic,1.0
128,128,synthetic_deterministic,1.0
129,129,synthetic_deterministic,1.0
13,13,synthetic_deterministic,1.0
130,130,synthetic_deterministic,1.0
131,131,synthetic_deterministic,1.0
132,132,synthetic_deterministic,1.0
133,133,synthetic_deterministic,1.0
134,134,synthetic_deterministic,1.0
135,135,synthetic_deterministic,1.0
136,136,synthetic_deterministic,1.0
137,137,synthetic_deterministic,1.0
138,138,synthetic_deterministic,1.0
139,139,synthetic_deterministic,1.0
14,14,synthetic_deterministic,1.0
140,140,synthetic_deterministic,1.0
141,141,synthetic_deterministic,1.0
142,142,synthetic_deterministic,1.0
143,143,synthetic_deterministic,1.0
144,144,synthetic_deterministic,1.0
145,145,synthetic_deterministic,1.0
146,146,synthetic_deterministic,1.0
147,147,synthetic_deterministic,1.0
148,148,synthetic_deterministic,1.0
149,149,synthetic_deterministic,1.0
15,15,synthetic_deterministic,1.0
150,150,synthetic_deterministic,1.0
151,151,synthetic_deterministic,1.0
152,152,synthetic_deterministic,1.0
153,153,synthetic_deterministic,1.0
154,154,synthetic_deterministic,1.0
155,155,synthetic_deterministic,1.0
156,156,synthetic_deterministic,1.0
157,157,synthetic_deterministic,1.0
158,158,synthetic_deterministic,1.0
159,159,synthetic_deterministic,1.0
16,16,synthetic_deterministic,1.0
160,160,synthetic_deterministic,1.0
161,161,synthetic_deterministic,1.0
162,162,synthetic_deterministic,1.0
163,163,synthetic_deterministic,1.0
164,164,synthetic_deterministic,1.0
165,165,synthetic_deterministic,1.0
166,166,synthetic_deterministic,1.0
167,167,synthetic_deterministic,1.0
168,168,synthetic_deterministic,1.0
169,169,synthetic_deterministic,1.0
17,17,synthetic_deterministic,1.0
170,170,synthetic_deterministic,1.0
171,171,synthetic_deterministic,1.0
172,172,synthetic_deterministic,1.0
173,173,synthetic_deterministic,1.0
174,174,synthetic_deterministic,1.0
175,175,synthetic_deterministic,1.0
176,176,synthetic_deterministic,1.0
177,177,synthetic_deterministic,1.0
178,178,synthetic_deterministic,1.0
179,179,synthetic_deterministic,1.0
18,18,synthetic_deterministic,1.0
180,180,synthetic_deterministic,1.0
181,181,synthetic_deterministic,1.0
182,182,synthetic_deterministic,1.0
183,183,synthetic_deterministic,1.0
184,184,synthetic_deterministic,1.0
185,185,synthetic_deterministic,1.0
186,186,synthetic_deterministic,1.0
187,187,synthetic_deterministic,1.0
188,188,synthetic_deterministic,1.0
189,189,synthetic_deterministic,1.0
19,19,synthetic_deterministic,1.0
190,190,synthetic_deterministic,1.0
191,191,synthetic_deterministic,1.0
192,192,synthetic_deterministic,1.0
193,193,synthetic_deterministic,1.0
194,194,synthetic_deterministic,1.0
195,195,synthetic_deterministic,1.0
196,196,synthetic_deterministic,1.0
197,197,synthetic_deterministic,1.0
198,198,synthetic_deterministic,1.0
199,199,synthetic_deterministic,1.0
2,2,synthetic_deterministic,1.0
20,20,synthetic_deterministic,1.0
200,200,synthetic_deterministic,1.0
201,201,synthetic_deterministic,1.0
202,202,synthetic_deterministic,1.0
203,203,synthetic_deterministic,1.0
204,204,synthetic_deterministic,1.0
205,205,synthetic_deterministic,1.0
206,206,synthetic_deterministic,1.0
207,207,synthetic_deterministic,1.0
208,208,synthetic_deterministic,1.0
209,209,synthetic_deterministic,1.0
21,21,synthetic_deterministic,1.0
210,210,synthetic_deterministic,1.0
211,211,synthetic_deterministic,1.0
212,212,synthetic_deterministic,1.0
213,213,synthetic_deterministic,1.0
214,214,synthetic_deterministic,1.0
215,215,synthetic_deterministic,1.0
216,216,synthetic_deterministic,1.0
217,217,synthetic_deterministic,1.0
218,218,synthetic_deterministic,1.0
219,219,synthetic_deterministic,1.0
22,22,synthetic_deterministic,1.0
220,220,synthetic_deterministic,1.0
221,221,synthetic_deterministic,1.0
222,222,synthetic_deterministic,1.0
223,223,synthetic_deterministic,1.0
224,224,synthetic_deterministic,1.0
225,225,synthetic_deterministic,1.0
226,226,synthetic_deterministic,1.0
227,227,synthetic_deterministic,1.0
228,228,synthetic_deterministic,1.0
229,229,synthetic_deterministic,1.0
23,23,synthetic_deterministic,1.0
230,230,synthetic_deterministic,1.0
231,231,synthetic_deterministic,1.0
232,232,synthetic_deterministic,1.0
233,233,synthetic_deterministic,1.0
234,234,synthetic_deterministic,1.0
235,235,synthetic_deterministic,1.0
236,236,synthetic_deterministic,1.0
237,237,synthetic_deterministic,1.0
238,238,synthetic_deterministic,1.0
239,239,synthetic_deterministic,1.0
24,24,synthetic_deterministic,1.0
240,240,synthetic_deterministic,1.0
241,241,synthetic_deterministic,1.0
242,242,synthetic_deterministic,1.0
243,243,synthetic_deterministic,1.0
244,244,synthetic_deterministic,1.0
245,245,synthetic_deterministic,1.0
246,246,synthetic_deterministic,1.0
247,247,synthetic_deterministic,1.0
248,248,synthetic_deterministic,1.0
249,249,synthetic_deterministic,1.0
25,25,synthetic_deterministic,1.0
250,250,synthetic_deterministic,1.0
251,251,synthetic_deterministic,1.0
252,252,synthetic_deterministic,1.0
253,253,synthetic_deterministic,1.0
254,254,synthetic_deterministic,1.0
255,255,synthetic_deterministic,1.0
256,256,synthetic_deterministic,1.0
257,257,synthetic_deterministic,1.0
258,258,synthetic_deterministic,1.0
259,259,synthetic_deterministic,1.0
26,26,synthetic_deterministic,1.0
260,260,synthetic_deterministic,1.0
261,261,synthetic_deterministic,1.0
262,262,synthetic_deterministic,1.0
263,263,synthetic_deterministic,1.0
264,264,synthetic_deterministic,1.0
265,265,synthetic_deterministic,1.0
266,266,synthetic_deterministic,1.0
267,267,synthetic_deterministic,1.0
268,268,synthetic_deterministic,1.0
269,269,synthetic_deterministic,1.0
27,27,synthetic_deterministic,1.0
270,270,synthetic_deterministic,1.0
271,271,synthetic_deterministic,1.0
272,272,synthetic_deterministic,1.0
273,273,synthetic_deterministic,1.0
274,274,synthetic_deterministic,1.0
275,275,synthetic_deterministic,1.0
276,276,synthetic_deterministic,1.0
277,277,synthetic_deterministic,1.0
278,278,synthetic_deterministic,1.0
279,279,synthetic_deterministic,1.0
