order_id,item_index,student_id,timestamp,course,amount
ord_44324f227c51,1,1,2026-09-04 19:30:57,Аналитика старт,8950.0
ord_80af266e78c8,1,10,2026-09-06 16:25:37,Backend про,8450.0
ord_7756bc4d8e41,1,100,2026-09-07 09:30:42,Backend старт,8950.0
ord_fab1063f75ae,1,101,2026-08-20 17:34:00,Алгоритмы старт,8745.0
ord_fbd7549e3e48,1,102,2026-09-07 12:59:48,AI агенты,6475.0
ord_fbd7549e3e48,2,102,2026-09-07 12:59:48,ML про,6475.0
ord_3b2814eb66bc,1,103,2026-08-09 18:46:42,Аналитика старт,6490.0
ord_126e2c670653,1,104,2026-08-23 21:00:30,AI агенты,7475.0
ord_126e2c670653,2,104,2026-08-23 21:00:30,ML про,7475.0
ord_c7c6c312aab7,1,105,2026-09-06 11:55:22,Аналитика про,8950.0
ord_a76c6fb4be0f,1,106,2026-08-10 10:53:02,Backend старт,4950.0
ord_a76c6fb4be0f,2,106,2026-08-10 10:53:02,Алгоритмы старт,4950.0
ord_2e0ed66cf347,1,107,2026-08-23 18:28:17,AI агенты,6975.0
ord_2e0ed66cf347,2,107,2026-08-23 18:28:17,Аналитика про,6975.0
ord_95036dad6ba5,1,108,2026-09-09 04:53:08,AI агенты,6975.0
ord_a1b4949c998a,1,109,2026-09-05 17:57:36,ML про,8950.0
ord_3e7123b8033f,1,11,2026-08-27 20:09:27,ML старт,6975.0
ord_352db9af8a4a,1,110,2026-09-07 10:27:06,AI агенты,8950.0
ord_44c6df702db1,1,111,2026-08-24 16:49:26,Аналитика про,8950.0
ord_6f7942e5ca39,1,112,2026-08-11 18:41:42,ML про,8475.0
ord_6f7942e5ca39,2,112,2026-08-11 18:41:42,ML старт,8475.0
ord_19ea5cf660f5,1,113,2026-09-06 15:14:57,Аналитика про,8950.0
ord_adc85f8c4113,1,114,2026-09-01 19:16:56,AI агенты,6975.0
ord_adc85f8c4113,2,114,2026-09-01 19:16:56,ML про,6975.0
ord_d77a97192b4d,1,115,2026-09-01 13:09:50,Аналитика про,8945.0
ord_2ff4d4d27c66,1,116,2026-08-25 10:01:02,АВ тестам,7475.0
ord_2ff4d4d27c66,2,116,2026-08-25 10:01:02,Аналитика про,7475.0
ord_a13624bfbac1,1,117,2026-09-05 12:34:35,Аналитика про,8450.0
ord_2ac7f4fc1f7d,1,118,2026-08-23 08:24:45,Backend про,8450.0
ord_4d7f346be903,1,119,2026-09-07 11:34:36,Алгоритмы про,8950.0
