date,actual,mean_7d,weekday_mean
2026-08-18,61110.0,69339.28571428571,90230.0
2026-08-19,56380.0,64307.857142857145,91020.0
2026-08-20,52585.0,55943.57142857143,67627.5
2026-08-21,28145.0,53054.28571428572,65842.5
2026-08-22,251150.0,46119.28571428572,161680.0
2026-08-23,394495.0,75091.42857142857,283588.33499999996
2026-08-24,184073.0,125292.85714285714,119387.5
2026-08-25,141650.0,146848.2857142857,80523.33333333333
2026-08-26,84075.0,158354.0,79473.33333333333
2026-08-27,137425.0,162310.42857142858,62613.333333333336
2026-08-28,60200.0,174430.42857142858,53276.666666666664
2026-08-29,95525.0,179009.7142857143,191503.33333333334
2026-08-30,176340.0,156777.57142857142,320557.2233333333
2026-08-31,206188.0,125612.57142857143,140949.33333333334
2026-09-01,226880.0,128771.85714285714,95805.0
2026-09-02,217280.0,140947.57142857142,80623.75
2026-09-03,180400.0,159976.85714285713,81316.25
2026-09-04,269585.0,166116.14285714287,55007.5
2026-09-05,484684.0,196028.2857142857,167508.75
2026-09-06,396075.0,251622.42857142858,284502.9175
2026-09-07,173375.0,283013.14285714284,157259.0
2026-09-08,64750.0,278325.5714285714,122020.0
2026-09-09,193600.0,255164.14285714287,107955.0
2026-09-10,9950.0,251781.2857142857,101133.0
