order_id,user_id,order_timestamp,order_amount,model,touch_id,campaign_id,placement_id,creative_id,source_type,touch_timestamp,weight,attributed_revenue
ord_0082db0829bd,503,2026-08-31 14:40:32,14943.0,last_touch,t_000757,cmp_000,pl_004,cr_003,bot_start,2026-08-30 16:44:38.528238527,1.0,14943.0
ord_00a180cd6c8e,479,2026-08-16 09:40:02,8745.0,last_touch,t_000707,cmp_003,pl_009,cr_000,lead,2026-08-15 19:55:19.519466410,1.0,8745.0
ord_00b414105480,228,2026-09-07 07:42:35,8950.0,last_touch,t_000232,cmp_001,pl_006,cr_002,click,2026-08-31 19:35:58.289682070,1.0,8950.0
ord_0157b9bc5064,515,2026-09-05 12:09:36,8450.0,last_touch,t_000778,cmp_001,pl_006,cr_002,click,2026-09-01 15:18:16.318685356,1.0,8450.0
ord_0223aaad9fb8,483,2026-08-29 19:38:52,8450.0,last_touch,t_000712,cmp_000,pl_001,cr_004,click,2026-08-25 11:16:04.417647216,0.0,0.0
ord_0223aaad9fb8,483,2026-08-29 19:38:52,8450.0,last_touch,t_000714,cmp_002,pl_005,cr_004,click,2026-08-25 14:07:40.478382987,0.0,0.0
ord_0223aaad9fb8,483,2026-08-29 19:38:52,8450.0,last_touch,t_000713,cmp_003,pl_009,cr_000,click,2026-08-27 05:39:24.536267564,1.0,8450.0
ord_0273750f92b4,598,2026-08-09 09:43:34,9900.0,last_touch,t_000942,cmp_000,pl_001,cr_004,click,2026-08-04 07:45:57.060386859,0.0,0.0
ord_0273750f92b4,598,2026-08-09 09:43:34,9900.0,last_touch,t_000940,cmp_000,pl_001,cr_004,click,2026-08-06 07:18:56.621915721,0.0,0.0
ord_0273750f92b4,598,2026-08-09 09:43:34,9900.0,last_touch,t_000941,cmp_002,pl_005,cr_004,bot_start,2026-08-07 23:21:48.600570324,1.0,9900.0
ord_043336d70bbd,566,2026-08-30 18:45:42,8450.0,last_touch,t_000879,cmp_002,pl_002,cr_002,click,2026-08-26 19:23:55.066263157,1.0,8450.0
ord_0475aef2b65b,563,2026-08-09 17:28:24,6490.0,last_touch,t_000872,cmp_000,pl_001,cr_004,bot_start,2026-08-07 02:22:53.216819336,1.0,6490.0
ord_04d41284e880,182,2026-09-02 10:14:11,8950.0,last_touch,t_000152,cmp_004,pl_003,cr_000,click,2026-09-01 09:00:20.810361996,1.0,8950.0
ord_057492a7b6c1,123,2026-09-09 16:23:01,6450.0,last_touch,t_000040,cmp_004,pl_003,cr_000,click,2026-09-09 02:12:34.380823075,1.0,6450.0
ord_05b980c654d8,427,2026-08-08 19:23:46,9900.0,last_touch,t_000603,cmp_001,pl_006,cr_002,bot_start,2026-08-04 20:20:21.556449253,0.0,0.0
ord_05b980c654d8,427,2026-08-08 19:23:46,9900.0,last_touch,t_000604,cmp_003,pl_009,cr_000,click,2026-08-05 07:13:49.805904810,0.0,0.0
ord_05b980c654d8,427,2026-08-08 19:23:46,9900.0,last_touch,t_000602,cmp_002,pl_008,cr_001,lead,2026-08-07 23:04:38.632301436,1.0,9900.0
ord_06562c623bb5,464,2026-08-10 18:30:49,4500.0,last_touch,t_000683,cmp_002,pl_005,cr_004,bot_start,2026-08-09 23:23:25.060498746,1.0,4500.0
ord_06cbd83b5016,312,2026-08-23 09:59:13,7475.0,last_touch,t_000404,cmp_004,pl_003,cr_000,click,2026-08-18 12:13:24.007610703,1.0,7475.0
ord_07526bb6597e,93,2026-08-10 05:56:12,6950.0,last_touch,t_001019,cmp_003,pl_007,cr_003,click,2026-08-07 10:17:33.323713516,1.0,6950.0
ord_076397626a57,202,2026-08-25 19:24:14,14950.0,last_touch,t_000185,cmp_001,pl_006,cr_002,bot_start,2026-08-20 16:56:29.962040098,1.0,14950.0
ord_07bbfb66286f,138,2026-08-25 12:39:08,5750.0,last_touch,t_000065,cmp_000,pl_004,cr_003,click,2026-08-22 07:37:02.930597113,1.0,5750.0
ord_07c9fa467ebc,76,2026-08-30 14:48:44,13950.0,last_touch,t_000986,cmp_000,pl_004,cr_003,click,2026-08-27 04:30:14.561924076,1.0,13950.0
ord_08067185bfb2,548,2026-09-08 12:45:32,13950.0,last_touch,t_000839,cmp_002,pl_002,cr_002,bot_start,2026-09-03 10:44:29.182982504,0.0,0.0
ord_08067185bfb2,548,2026-09-08 12:45:32,13950.0,last_touch,t_000841,cmp_000,pl_001,cr_004,bot_start,2026-09-03 15:14:29.254995572,0.0,0.0
ord_08067185bfb2,548,2026-09-08 12:45:32,13950.0,last_touch,t_000840,cmp_000,pl_004,cr_003,bot_start,2026-09-04 08:56:01.172855523,1.0,13950.0
ord_08813546fcf4,193,2026-09-06 11:49:34,8450.0,last_touch,t_000170,cmp_001,pl_006,cr_002,click,2026-09-05 23:34:01.346569833,1.0,8450.0
